lead_min,exact,base_rate,near_12km,near_20km,near_28km,best_shift
10,0.7827958104194102,0.05701522827148438,0.8308828843045782,0.839961199695787,0.8414199616652186,0.7859742161522534
20,0.699291910049774,0.05792388916015625,0.7628017771050681,0.7822496195103406,0.7918929451543765,0.7074566822250534
30,0.6350402313332039,0.057771555582682294,0.7082293263327268,0.7355658482358406,0.7521951528687948,0.6444833213036039
40,0.596213138213742,0.056520843505859376,0.6779932257683725,0.7093582978741647,0.7285322639319212,0.6103184345625778
50,0.5588612903143727,0.05753809611002604,0.6420532244369008,0.6762857433008537,0.6978654576578042,0.5740422272245722
60,0.5235698000238103,0.058008066813151044,0.6120904880436692,0.6507152958908906,0.6760154944677282,0.5379828404510164
